Scenario,Policy loaded,Aircraft models,Time step (s),Population,Entry rate (ac/s),Initial altitude,Corridor quantity,Corridor length,Waypoint quantity,Detection range (Nm),Conflict range (Nm),LOS range (Nm),Altitude protected separation (ft),Time-based separation tolerance (s),Altitude buffer (ft),Lateral buffer (m),Speed commands,Altitude commands,Deviation commands,Local observation states,Observation state from intruder,Normalisation boundaries,Policy layers length
3.2.0,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,60,"[6, 6]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.2.1,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,60,"[8, 8]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.2.2,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,60,"[10, 10]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.2.3,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,60,"[12, 12]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.2.4,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,60,"[14, 14]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.2.5,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,60,"[16, 16]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.2.6,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,60,"[18, 18]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.2.7,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,60,"[20, 20]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.2.8,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,60,"[22, 22]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.2.9,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,60,"[24, 24]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.3.0,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,90,"[6, 6]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.3.1,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,90,"[8, 8]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.3.2,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,90,"[10, 10]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.3.3,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,90,"[12, 12]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.3.4,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,90,"[14, 14]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.3.5,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,90,"[16, 16]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.3.6,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,90,"[18, 18]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.3.7,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,90,"[20, 20]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.3.8,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,90,"[22, 22]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
3.3.9,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,90,"[24, 24]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]"
